x,n,sum_1,sum_2
0.000000000000000e+00,0,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-01,3,9.983341666666667e-02,9.983341666666667e-02
2.000000000000000e-01,3,1.986693333333334e-01,1.986693333333333e-01
3.000000000000000e-01,4,2.955202066071429e-01,2.955202066071429e-01
4.000000000000000e-01,4,3.894183415873016e-01,3.894183415873016e-01
5.000000000000000e-01,4,4.794255332341270e-01,4.794255332341270e-01
6.000000000000001e-01,5,5.646424734857144e-01,5.646424734857144e-01
7.000000000000001e-01,5,6.442176877315009e-01,6.442176877315008e-01
8.000000000000000e-01,5,7.173560930426808e-01,7.173560930426808e-01
9.000000000000000e-01,5,7.833269174484375e-01,7.833269174484375e-01
1.000000000000000e+00,6,8.414709846480680e-01,8.414709846480680e-01
1.100000000000000e+00,6,8.912073595102138e-01,8.912073595102139e-01
1.200000000000000e+00,6,9.320390842607378e-01,9.320390842607378e-01
1.300000000000000e+00,6,9.635581805922090e-01,9.635581805922091e-01
1.400000000000000e+00,7,9.854497301065734e-01,9.854497301065733e-01
1.500000000000000e+00,7,9.974949869361672e-01,9.974949869361672e-01
1.600000000000000e+00,7,9.995736039149269e-01,9.995736039149269e-01
1.700000000000000e+00,7,9.916648126183482e-01,9.916648126183482e-01
1.800000000000000e+00,7,9.738476359765835e-01,9.738476359765835e-01
1.900000000000000e+00,8,9.463000875349482e-01,9.463000875349484e-01
2.000000000000000e+00,8,9.092974264614476e-01,9.092974264614477e-01
2.100000000000000e+00,8,8.632093658150352e-01,8.632093658150355e-01
2.200000000000000e+00,8,8.084964019830595e-01,8.084964019830592e-01
2.300000000000000e+00,8,7.457052082717325e-01,7.457052082717319e-01
2.400000000000000e+00,8,6.754631725113232e-01,6.754631725113234e-01
2.500000000000000e+00,9,5.984721443986255e-01,5.984721443986263e-01
2.600000000000000e+00,9,5.155013724415414e-01,5.155013724415416e-01
2.700000000000000e+00,9,4.273798815024213e-01,4.273798815024215e-01
2.800000000000000e+00,9,3.349881526843344e-01,3.349881526843346e-01
2.900000000000000e+00,9,2.392493341324317e-01,2.392493341324324e-01
3.000000000000000e+00,9,1.411200174132426e-01,1.411200174132436e-01
3.100000000000000e+00,10,4.158066203329317e-02,4.158066203329414e-02
3.200000000000000e+00,10,-5.837414420575558e-02,-5.837414420575504e-02
3.300000000000000e+00,10,-1.577456956263501e-01,-1.577456956263514e-01
3.400000000000000e+00,10,-2.555411047993143e-01,-2.555411047993150e-01
3.500000000000000e+00,10,-3.507832327789162e-01,-3.507832327789178e-01
3.600000000000000e+00,10,-4.425204524778032e-01,-4.425204524778037e-01
3.700000000000000e+00,11,-5.298361404655829e-01,-5.298361404655836e-01
3.800000000000000e+00,11,-6.118578901258269e-01,-6.118578901258269e-01
3.900000000000000e+00,11,-6.877661577011820e-01,-6.877661577011818e-01
4.000000000000000e+00,11,-7.568024926569087e-01,-7.568024926569112e-01
4.100000000000001e+00,11,-8.182771063925848e-01,-8.182771063925820e-01
4.200000000000000e+00,11,-8.715757642927104e-01,-8.715757642927073e-01
4.300000000000000e+00,12,-9.161659371807122e-01,-9.161659371807147e-01
4.400000000000000e+00,12,-9.516020746547829e-01,-9.516020746547813e-01
4.500000000000000e+00,12,-9.775301190056068e-01,-9.775301190056087e-01
4.600000000000001e+00,12,-9.936910059527359e-01,-9.936910059527371e-01
4.700000000000000e+00,12,-9.999232615295284e-01,-9.999232615295277e-01
4.800000000000001e+00,12,-9.961646155393178e-01,-9.961646155393176e-01
4.900000000000000e+00,13,-9.824526122392023e-01,-9.824526122392072e-01
5.000000000000000e+00,13,-9.589242739994150e-01,-9.589242739993971e-01
5.100000000000001e+00,13,-9.258146811962058e-01,-9.258146811961971e-01
5.200000000000000e+00,13,-8.834546538110830e-01,-8.834546538110715e-01
5.300000000000001e+00,13,-8.322674390350594e-01,-8.322674390350642e-01
5.400000000000000e+00,13,-7.727644822805404e-01,-7.727644822805573e-01
5.500000000000000e+00,13,-7.055403169236459e-01,-7.055403169236456e-01
5.600000000000001e+00,14,-6.312666384173943e-01,-6.312666384173866e-01
5.700000000000000e+00,14,-5.506855435072571e-01,-5.506855435072424e-01
5.800000000000001e+00,14,-4.646021809182107e-01,-4.646021809182344e-01
5.900000000000000e+00,14,-3.738766672970908e-01,-3.738766672970684e-01
6.000000000000000e+00,14,-2.794155022101806e-01,-2.794155022101563e-01
6.100000000000001e+00,14,-1.821625107421915e-01,-1.821625107421880e-01
