,x,me,scipy,delta
0,0.0,0.0,0.0,0.0
1,0.1,0.099999,0.0999990000046296,4.629602257111287e-12
2,0.2,0.199968,0.1999680023702829,2.3702828866323244e-09
3,0.3,0.299757091125,0.2997570911079686,1.7031376309262214e-11
4,0.4,0.39897721362963,0.3989772129129052,7.167247906281204e-10
5,0.5,0.49688402920367,0.4968840292147947,1.1124712262500225e-11
6,0.6,0.592270516462671,0.592270516709329,2.4665791631406364e-10
7,0.7,0.68337878711563,0.683378790502197,3.3865669157862044e-09
8,0.8,0.767847537762708,0.767847537641989,1.2071899035959177e-10
9,0.9,0.842717699995022,0.8427176985651442,1.4298777717414168e-09
10,1.0,0.904524237817159,0.9045242379002718,8.31128499356737e-11
11,1.1,0.949503869042766,0.949503869941299,8.985330257615942e-10
12,1.2,0.973944546187623,0.9739445540762238,7.888600772609777e-09
13,1.3,0.974689078542062,0.9746890777531594,7.889026099050511e-10
14,1.4,0.94977898371167,0.9497789769691372,6.742532865366968e-09
15,1.5,0.899184851963846,0.8991848528874781,9.236320597239001e-10
16,1.6,0.825516738130746,0.8255167458678744,7.737128382423464e-09
17,1.7,0.734551232876299,0.7345512314847156,1.3915834040645336e-09
18,1.8,0.635365430834975,0.6353654311222757,2.8730073875493645e-10
19,1.9,0.539855045818509,0.5398550484422762,2.623767203502325e-09
20,2.0,0.46146146311073,0.4614614624332158,6.775142114001653e-10
21,2.1,0.413066423822815,0.4130664177694495,6.053365475544581e-09
22,2.2,0.404240471678664,0.4042404735907744,1.912110414448165e-09
23,2.3,0.438329078874103,0.4383290782027944,6.71308619804023e-10
24,2.4,0.510157036847701,0.510157030482016,6.365684979137143e-09
25,2.5,0.605307836456406,0.6053078391148689,2.6584628942671884e-09
26,2.6,0.701840323568537,0.7018403223497757,1.2187613140923759e-09
27,2.7,0.774816529300997,0.7748165299126648,6.116678274992182e-10
28,2.8,0.803114817312322,0.8031148237721415,6.45981945712748e-09
29,2.9,0.776863824504483,0.776863820755766,3.748717003482227e-09
30,3.0,0.70286355537096,0.7028635577302673,2.359307305077607e-09
31,3.1,0.605132099485309,0.6051320978785657,1.6067432939692594e-09
32,3.2,0.518749430372019,0.5187494315534399,1.1814208500382506e-09
33,3.3,0.477591281147791,0.4775912802119124,9.358785968416328e-10
34,3.4,0.499749602125813,0.4997496029228512,7.970382132072018e-10
35,3.5,0.57700724596645,0.5770072452381626,7.282874303626841e-10
36,3.6,0.674853169207412,0.6748531699200094,7.12597425511774e-10
37,3.7,0.745943310381844,0.7459433096366196,7.452244377148531e-10
38,3.8,0.753149825056626,0.7531498258881035,8.314775534756791e-10
